,Time,Open,High,Low,Close,Volume
34943,2021-01-06 15:55:00,503.75,503.75,502.27,502.96,150464
34944,2021-01-06 16:00:00,502.89,502.93,499.5,500.26,499323
34945,2021-01-06 16:05:00,500.49,500.49,499.0,499.265,56179
34946,2021-01-06 16:10:00,500.0,500.63,499.99,500.63,3633
34947,2021-01-06 16:15:00,500.5901,501.0,500.55,500.9,3991
34948,2021-01-06 16:20:00,500.9,502.0,500.75,502.0,3262
34949,2021-01-06 16:25:00,502.03,502.5,502.0,502.5,2027
34950,2021-01-06 16:30:00,502.9,502.9,500.49,500.49,1845
34951,2021-01-06 16:35:00,501.0,501.5,500.49,500.49,1401
34952,2021-01-06 16:50:00,501.85,501.85,501.85,501.85,519
34953,2021-01-06 16:55:00,502.0,502.0,502.0,502.0,1086
34954,2021-01-06 17:15:00,502.06,502.06,502.06,502.06,1243
34955,2021-01-06 17:20:00,502.24,502.24,502.0001,502.0001,655
34956,2021-01-06 17:25:00,502.0,502.0,502.0,502.0,342
34957,2021-01-06 17:35:00,501.5,501.5,501.5,501.5,474
34958,2021-01-06 17:45:00,502.26,502.26,502.26,502.26,116
34959,2021-01-06 17:55:00,502.0,502.0,502.0,502.0,214
34960,2021-01-06 18:00:00,501.63,501.63,501.63,501.63,272
34961,2021-01-06 18:10:00,501.8,501.8,501.8,501.8,248
34962,2021-01-06 18:50:00,502.4,502.4,502.4,502.4,1133
34963,2021-01-06 18:55:00,502.52,502.52,502.52,502.52,400
34964,2021-01-06 19:05:00,503.02,503.68,502.8,503.68,673
34965,2021-01-06 19:20:00,503.23,503.23,503.23,503.23,116
34966,2021-01-06 19:25:00,503.64,503.64,503.64,503.64,120
34967,2021-01-06 19:40:00,502.86,502.86,502.86,502.86,110
34968,2021-01-06 19:45:00,502.86,502.86,502.86,502.86,206
34969,2021-01-06 19:50:00,502.86,502.86,502.86,502.86,100
34970,2021-01-07 04:15:00,504.0,504.0,504.0,504.0,100
34971,2021-01-07 06:15:00,503.29,503.29,503.29,503.29,100
34972,2021-01-07 06:25:00,503.9,503.9,503.9,503.9,492
34973,2021-01-07 07:20:00,504.0,504.0,504.0,504.0,697
34974,2021-01-07 07:25:00,504.5,504.57,504.5,504.57,1262
34975,2021-01-07 07:35:00,505.25,505.25,505.25,505.25,151
34976,2021-01-07 07:40:00,505.35,505.5,505.35,505.5,909
34977,2021-01-07 07:50:00,505.12,505.12,505.12,505.12,232
34978,2021-01-07 07:55:00,505.76,505.99,505.5,505.99,3419
34979,2021-01-07 08:05:00,504.1,506.5,504.1,506.5,3596
34980,2021-01-07 08:10:00,506.5999,506.5999,506.55,506.55,688
34981,2021-01-07 08:15:00,506.74,506.9,506.74,506.9,972
34982,2021-01-07 08:25:00,506.58,506.99,506.58,506.99,769
34983,2021-01-07 08:30:00,507.4,507.4,507.4,507.4,302
34984,2021-01-07 08:35:00,507.0,507.0,507.0,507.0,553
34985,2021-01-07 08:40:00,507.4,507.4,506.7,506.98,2195
34986,2021-01-07 08:45:00,506.9,506.9,506.9,506.9,226
34987,2021-01-07 08:50:00,506.83,506.83,506.83,506.83,390
34988,2021-01-07 08:55:00,507.05,507.05,507.05,507.05,138
34989,2021-01-07 09:00:00,507.04,507.04,507.04,507.04,844
34990,2021-01-07 09:05:00,507.29,507.5,507.29,507.5,1614
34991,2021-01-07 09:10:00,507.8,508.0,507.8,508.0,1528
34992,2021-01-07 09:15:00,508.0,508.0,507.97,507.97,1066
34993,2021-01-07 09:20:00,507.78,507.78,507.5,507.5,2838
34994,2021-01-07 09:25:00,507.64,508.29,507.57,507.75,1915
34995,2021-01-07 09:30:00,508.2,509.77,507.84,509.77,7491
34996,2021-01-07 09:35:00,508.28,512.5,508.2626,509.98,254014
34997,2021-01-07 09:40:00,509.99,516.44,508.53,514.5551,154770
34998,2021-01-07 09:45:00,514.4,515.15,512.6152,512.8521,120923
34999,2021-01-07 09:50:00,513.13,514.8,512.16,512.635,67562
35000,2021-01-07 09:55:00,512.81,515.0,512.66,514.95,49836
35001,2021-01-07 10:00:00,514.78,515.58,513.66,514.5513,59331
35002,2021-01-07 10:05:00,514.67,514.98,513.3001,513.85,28439
35003,2021-01-07 10:10:00,514.0,515.0,513.61,514.78,51297
35004,2021-01-07 10:15:00,514.86,515.79,514.257,515.405,57079
35005,2021-01-07 10:20:00,515.49,516.27,512.1601,512.31,82793
35006,2021-01-07 10:25:00,512.64,512.91,511.26,511.41,36216
35007,2021-01-07 10:30:00,511.61,512.765,511.3769,511.87,31691
35008,2021-01-07 10:35:00,512.07,512.7,511.391,512.4,42477
35009,2021-01-07 10:40:00,512.24,512.41,511.6,511.6301,21604
35010,2021-01-07 10:45:00,511.64,512.25,510.76,511.0789,35343
35011,2021-01-07 10:50:00,511.2086,511.35,510.42,511.0368,41904
35012,2021-01-07 10:55:00,510.91,511.13,509.22,509.36,99404
35013,2021-01-07 11:00:00,509.55,509.9,508.9005,509.56,60164
35014,2021-01-07 11:05:00,509.6,509.93,509.0601,509.61,46755
35015,2021-01-07 11:10:00,509.766,509.87,508.6201,508.8586,30150
35016,2021-01-07 11:15:00,508.795,509.28,508.0,508.01,43234
35017,2021-01-07 11:20:00,508.0,509.16,507.55,509.0684,54916
35018,2021-01-07 11:25:00,509.12,509.53,508.76,509.1,40028
35019,2021-01-07 11:30:00,509.12,509.79,508.94,509.175,39864
35020,2021-01-07 11:35:00,509.1,509.7199,509.0663,509.5101,33458
35021,2021-01-07 11:40:00,509.52,510.3,508.37,508.4,75622
35022,2021-01-07 11:45:00,508.2,509.3074,507.985,508.57,63091
35023,2021-01-07 11:50:00,508.84,510.5963,508.715,510.54,23668
35024,2021-01-07 11:55:00,510.64,510.83,509.9398,510.743,39096
35025,2021-01-07 12:00:00,510.82,510.82,509.75,510.155,36836
35026,2021-01-07 12:05:00,510.33,510.33,509.27,509.59,19503
35027,2021-01-07 12:10:00,509.75,509.75,508.04,508.245,25397
35028,2021-01-07 12:15:00,508.34,508.34,506.42,507.13,51924
35029,2021-01-07 12:20:00,507.02,508.53,506.92,508.4382,32023
35030,2021-01-07 12:25:00,508.32,508.63,507.9713,508.38,20327
35031,2021-01-07 12:30:00,508.3344,508.45,507.6345,508.3029,19387
35032,2021-01-07 12:35:00,508.2922,508.77,508.1561,508.442,18639
35033,2021-01-07 12:40:00,508.4897,509.095,508.26,508.7784,15097
35034,2021-01-07 12:45:00,508.85,509.18,508.5,508.9917,14612
35035,2021-01-07 12:50:00,509.016,509.49,508.86,508.86,19973
35036,2021-01-07 12:55:00,508.78,509.16,508.5727,508.79,11263
35037,2021-01-07 13:00:00,508.6,508.65,507.94,508.1,16033
35038,2021-01-07 13:05:00,508.1797,508.5,508.08,508.127,15197
35039,2021-01-07 13:10:00,508.02,508.02,507.47,507.48,14481
